,Trial,CurrentWaypoint,TrialAttempt,Time,LogFreq,FPS,GoalX,GoalY,PosX,PosY,RotX,RotY,RotZ,Event
0,0,1,1,0.01388889,72.0,72.0,4.0,-4.0,3.9745536849584076,0.018688942231038317,356.3419,91.83267,358.2546,StopSignalDeactivated; TrialStarted
1,0,1,1,0.02777778,72.0,72.0,4.0,-4.0,3.977031249398971,0.018640842960222424,356.1653,91.88097,358.2487,
2,0,1,1,0.04166667,72.0,72.0,4.0,-4.0,3.9794855301779086,0.018575829922189823,355.9847,91.91306,358.252,
3,0,1,1,0.05555556,72.0,72.0,4.0,-4.0,3.9819160508155904,0.01849410080518258,355.8026,91.93988,358.2482,
4,0,1,1,0.06944445,72.0,72.0,4.0,-4.0,3.9843223563510035,0.01839588565911347,355.6488,91.95117,358.2678,
5,0,1,1,0.08333334,72.0,72.0,4.0,-4.0,3.9867040136738425,0.018281446794384853,355.5063,91.96296,358.2823,
6,0,1,1,0.09722222,72.0,72.0,4.0,-4.0,3.9890606118528713,0.01815107859788167,355.3952,91.96123,358.3032,
7,0,1,1,0.1111111,72.0,72.0,4.0,-4.0,3.9913917624585924,0.0180051072649553,355.2789,91.9519,358.3336,
8,0,1,1,0.125,72.0,72.0,4.0,-4.0,3.9936970998781063,0.01784389044652434,355.1721,91.93554,358.3847,
9,0,1,1,0.1388889,72.0,72.0,4.0,-4.0,3.995976281619931,0.01766781681073787,355.0989,91.90884,358.3983,
10,0,1,1,0.1527778,72.0,72.0,4.0,-4.0,3.9982289886064186,0.017477305518973987,355.0386,91.86945,358.4113,
11,0,1,1,0.1666667,72.0,72.0,4.0,-4.0,4.000454925451334,0.017272805616278177,354.9451,91.80809,358.4471,
12,0,1,1,0.1805556,72.0,72.0,4.0,-4.0,4.002653820720078,0.017054795336680428,354.8468,91.75813,358.4608,
13,0,1,1,0.1944445,72.0,72.0,4.0,-4.0,4.004825427170008,0.016823781324164278,354.8027,91.71104,358.4588,
14,0,1,1,0.2083334,72.0,72.0,4.0,-4.0,4.00696952196826,0.016580297770391335,354.7473,91.67019,358.4679,
15,0,1,1,0.2222223,72.0,72.0,4.0,-4.0,4.009085906884526,0.016324905470607918,354.7095,91.66625,358.4704,
16,0,1,1,0.2361112,72.0,72.0,4.0,-4.0,4.011174408456249,0.016058190799471978,354.6851,91.68189,358.4827,
17,0,1,1,0.2500001,72.0,72.0,4.0,-4.0,4.013234878123802,0.015780764608835672,354.6744,91.70415,358.485,
18,0,1,1,0.263889,72.0,72.0,4.0,-4.0,4.01526719233332,0.01549326104979989,354.6803,91.76423,358.5068,
19,0,1,1,0.2777779,72.0,72.0,4.0,-4.0,4.017271252604996,0.015196336321620986,354.7253,91.82607,358.5103,
20,0,1,1,0.2916667,72.0,72.0,4.0,-4.0,4.019246985564842,0.014890667350297185,354.8015,91.88,358.5429,
21,0,1,1,0.3055556,72.0,72.0,4.0,-4.0,4.021194342938107,0.014576950399894055,354.8495,91.92913,358.6092,
22,0,1,1,0.3194445,72.0,72.0,4.0,-4.0,4.023113301502761,0.014255899619886724,354.832,91.95203,358.6989,
23,0,1,1,0.3333334,72.0,72.0,4.0,-4.0,4.025003863001716,0.013928245532002514,354.7569,91.94637,358.7817,
24,0,1,1,0.3472223,72.0,72.0,4.0,-4.0,4.026866054012662,0.013594733460242665,354.636,91.89987,358.8691,
25,0,1,1,0.3611112,72.0,72.0,4.0,-4.0,4.028699925774664,0.01325612190794612,354.476,91.8239,358.9326,
26,0,1,1,0.3750001,72.0,72.0,4.0,-4.0,4.030505553970918,0.012913180885932688,354.2981,91.72976,358.9758,
27,0,1,1,0.388889,72.0,72.0,4.0,-4.0,4.0322830384672965,0.012566690195928118,354.0864,91.62782,359.0016,
