,Trial,CurrentWaypoint,TrialAttempt,Time,LogFreq,FPS,GoalX,GoalY,PosX,PosY,RotX,RotY,RotZ,Event
3117,1,1,1,0.01388889,72.0,72.0,-4.0,-6.99e-07,4.178983673658966,-0.09185682223843081,345.0459,257.5923,356.8274,TrialCompleted; TrialStarted
3118,1,1,1,0.02777778,72.0,72.0,-4.0,-6.99e-07,4.177875376168756,-0.08958941297037493,345.0281,257.2795,356.9847,
3119,1,1,1,0.04166667,72.0,72.0,-4.0,-6.99e-07,4.1767505519839,-0.08731964863450287,345.024,256.9424,357.1208,
3120,1,1,1,0.05555556,72.0,72.0,-4.0,-6.99e-07,4.175609132212916,-0.08504813555838554,345.0588,256.5771,357.2613,
3121,1,1,1,0.06944445,72.0,72.0,-4.0,-6.99e-07,4.174451073947021,-0.0827755188829456,345.1312,256.166,357.3919,
3122,1,1,1,0.08333334,72.0,72.0,-4.0,-6.99e-07,4.173276361157155,-0.0805024834452672,345.2343,255.7376,357.5572,
3123,1,1,1,0.09722222,72.0,72.0,-4.0,-6.99e-07,4.172085005534767,-0.07822975455835583,345.3409,255.286,357.6911,
3124,1,1,1,0.1111111,72.0,72.0,-4.0,-6.99e-07,4.1708770472735734,-0.07595809868322374,345.4385,254.8153,357.88,
3125,1,1,1,0.125,72.0,72.0,-4.0,-6.99e-07,4.1696525557897175,-0.07368832398895536,345.5028,254.3277,358.0801,
3126,1,1,1,0.1388889,72.0,72.0,-4.0,-6.99e-07,4.168411630378009,-0.07142128079670648,345.5408,253.8203,358.3038,
3127,1,1,1,0.1527778,72.0,72.0,-4.0,-6.99e-07,4.167154400802161,-0.06915786190391097,345.6034,253.3179,358.5315,
3128,1,1,1,0.1666667,72.0,72.0,-4.0,-6.99e-07,4.165881027817203,-0.06689900278531047,345.662,252.7689,358.7975,
3129,1,1,1,0.1805556,72.0,72.0,-4.0,-6.99e-07,4.1645917036225155,-0.06464568166778577,345.74,252.211,359.1071,
3130,1,1,1,0.1944445,72.0,72.0,-4.0,-6.99e-07,4.163286652244179,-0.06239891947635409,345.8635,251.6582,359.409,
3131,1,1,1,0.2083334,72.0,72.0,-4.0,-6.99e-07,4.161966129845596,-0.06015977964910287,346.0335,251.0813,359.726,
3132,1,1,1,0.2222223,72.0,72.0,-4.0,-6.99e-07,4.160630424965588,-0.05792936781925729,346.2312,250.5234,0.0193049,
3133,1,1,1,0.2361112,72.0,72.0,-4.0,-6.99e-07,4.159279858683429,-0.055708831363023306,346.4971,249.9104,0.3325738,
