,Trial,CurrentWaypoint,TrialAttempt,Time,LogFreq,FPS,GoalX,GoalY,PosX,PosY,RotX,RotY,RotZ,Event
39,0,1,1,0.5555558,72.0,72.0,3.391037,-3.061467,-4.002890726680568,-0.03019248964110803,4.637254,75.47128,358.2153,
40,0,1,1,0.5694447,72.0,72.0,3.391037,-3.061467,-4.002795607761211,-0.031207822194807337,4.649076,76.45606,358.0869,
41,0,1,1,0.5833336,72.0,72.0,3.391037,-3.061467,-4.002706878096158,-0.03223876796993076,4.672767,77.58108,357.9583,
42,0,1,1,0.5972224,72.0,72.0,3.391037,-3.061467,-4.002624410816722,-0.03328412245037205,4.717077,78.76824,357.8198,
43,0,1,1,0.6111113,72.0,72.0,3.391037,-3.061467,-4.0025480663673205,-0.03434266181138514,4.763587,80.06303,357.6967,
44,0,1,1,0.6250002,72.0,72.0,3.391037,-3.061467,-4.002477692351502,-0.03541314572444999,4.851288,81.43847,357.5413,
45,0,1,1,0.6388891,72.0,72.0,3.391037,-3.061467,-4.002413123416709,-0.03649432022126256,4.972122,82.8836,357.4107,
46,0,1,1,0.652778,72.0,72.0,3.391037,-3.061467,-4.002354181180444,-0.03758492060571892,5.100977,84.39933,357.2574,
47,0,1,1,0.6666669,72.0,72.0,3.391037,-3.061467,-4.00230067420039,-0.03868367440224554,5.266458,85.99259,357.1098,
48,0,1,1,0.6805558,72.0,72.0,3.391037,-3.061467,-4.002252397990865,-0.039789304328369815,5.446219,87.63036,356.9893,
49,0,1,1,0.6944447,72.0,72.0,3.391037,-3.061467,-4.002209135087866,-0.04090053127903293,5.675687,89.28928,356.8896,
50,0,1,1,0.7083336,72.0,72.0,3.391037,-3.061467,-4.002170655164722,-0.04201607730982643,5.942553,90.97643,356.8128,
51,0,1,1,0.7222225,72.0,72.0,3.391037,-3.061467,-4.002136715200184,-0.04313466860608924,6.221389,92.681,356.7703,
52,0,1,1,0.7361114,72.0,72.0,3.391037,-3.061467,-4.002107059700537,-0.04425503842463683,6.512063,94.38231,356.7721,
53,0,1,1,0.7500003,72.0,72.0,3.391037,-3.061467,-4.002081420977065,-0.04537592999481106,6.789574,96.0956,356.785,
54,0,1,1,0.7638892,72.0,72.0,3.391037,-3.061467,-4.002059519479919,-0.046496099365541145,7.060865,97.79212,356.8316,
55,0,1,1,0.7777781,72.0,72.0,3.391037,-3.061467,-4.00204106418913,-0.04761431818519287,7.331818,99.51801,356.8924,
56,0,1,1,0.791667,72.0,72.0,3.391037,-3.061467,-4.002025753063244,-0.04872937640115679,7.571251,101.2127,356.9841,
57,0,1,1,0.8055559,72.0,72.0,3.391037,-3.061467,-4.002013273545698,-0.049840084866385324,7.783864,102.8975,357.1087,
58,0,1,1,0.8194448,72.0,72.0,3.391037,-3.061467,-4.002003303128765,-0.05094527784043449,7.98468,104.5283,357.2359,
59,0,1,1,0.8333337,72.0,72.0,3.391037,-3.061467,-4.001995509974584,-0.05204381537299632,8.162564,106.1405,357.3734,
60,0,1,1,0.8472226,72.0,72.0,3.391037,-3.061467,-4.001989553592467,-0.05313458555842293,8.298929,107.6976,357.5026,
61,0,1,1,0.8611115,72.0,72.0,3.391037,-3.061467,-4.001985085571389,-0.054216506650340515,8.410953,109.1655,357.6154,
62,0,1,1,0.8750004,72.0,72.0,3.391037,-3.061467,-4.001981750366295,-0.05528852902612845,8.529077,110.5304,357.7433,
63,0,1,1,0.8888893,72.0,72.0,3.391037,-3.061467,-4.001979186136566,-0.05634963699179115,8.648032,111.811,357.8521,
64,0,1,1,0.9027781,72.0,72.0,3.391037,-3.061467,-4.001977025634788,-0.057398850418572046,8.726673,112.9634,357.9467,
65,0,1,1,0.916667,72.0,72.0,3.391037,-3.061467,-4.0019748971437,-0.058435226203543994,8.800017,113.9957,358.0489,
66,0,1,1,0.9305559,72.0,72.0,3.391037,-3.061467,-4.001972425459048,-0.059457859547351506,8.858197,114.9202,358.1179,
67,0,1,1,0.9444448,72.0,72.0,3.391037,-3.061467,-4.001969232915858,-0.06046588504327015,8.896384,115.6907,358.1795,
68,0,1,1,0.9583337,72.0,72.0,3.391037,-3.061467,-4.001964940455534,-0.06145847757277949,8.942256,116.335,358.2019,
69,0,1,1,0.9722226,72.0,72.0,3.391037,-3.061467,-4.001959168731009,-0.062434853003909524,8.963086,116.8665,358.2027,
70,0,1,1,0.9861115,72.0,72.0,3.391037,-3.061467,-4.001951539247118,-0.06339426868970774,8.998923,117.2784,358.213,
71,0,1,1,1.0,72.0,72.0,3.391037,-3.061467,-4.0019416755332395,-0.06433602376527439,9.043391,117.5751,358.1798,
72,0,1,1,1.013889,72.0,72.0,3.391037,-3.061467,-4.001929204345201,-0.06525945924291807,9.067435,117.7535,358.1358,
73,0,1,1,1.027778,72.0,72.0,3.391037,-3.061467,-4.001913756893374,-0.06616395790608123,9.120894,117.8466,358.0757,
74,0,1,1,1.041667,72.0,72.0,3.391037,-3.061467,-4.0018949700938515,-0.06704894400376882,9.146105,117.8522,357.9991,
75,0,1,1,1.055556,72.0,72.0,3.391037,-3.061467,-4.0018724878395515,-0.06791388274827305,9.167025,117.8043,357.9199,
76,0,1,1,1.069445,72.0,72.0,3.391037,-3.061467,-4.001845962288073,-0.06875827962001864,9.185963,117.703,357.8412,
77,0,1,1,1.083333,72.0,72.0,3.391037,-3.061467,-4.001815055163104,-0.06958167948434776,9.200929,117.5888,357.7597,
78,0,1,1,1.097222,72.0,72.0,3.391037,-3.061467,-4.001779439066156,-0.07038366552601939,9.20806,117.4414,357.6709,
79,0,1,1,1.111111,72.0,72.0,3.391037,-3.061467,-4.001738798795368,-0.07116385800810604,9.214433,117.2894,357.5783,
80,0,1,1,1.125,72.0,72.0,3.391037,-3.061467,-4.001692832668126,-0.07192191286282874,9.223842,117.1336,357.4936,
81,0,1,1,1.138889,72.0,72.0,3.391037,-3.061467,-4.001641253844179,-0.07265752012267421,9.2259,116.9811,357.4176,
82,0,1,1,1.152778,72.0,72.0,3.391037,-3.061467,-4.00158379164594,-0.07337040220088527,9.221014,116.839,357.3535,
83,0,1,1,1.166666,72.0,72.0,3.391037,-3.061467,-4.001520192872592,-0.07406031203110645,9.218129,116.7233,357.2924,
84,0,1,1,1.180555,72.0,72.0,3.391037,-3.061467,-4.001450223104596,-0.07472703107660088,9.224753,116.6161,357.2526,
85,0,1,1,1.194444,72.0,72.0,3.391037,-3.061467,-4.00137366799517,-0.07537036722003293,9.228184,116.5328,357.2375,
86,0,1,1,1.208333,72.0,72.0,3.391037,-3.061467,-4.001290334545242,-0.07599015254533313,9.216741,116.4571,357.2417,
87,0,1,1,1.222222,72.0,72.0,3.391037,-3.061467,-4.001200052358361,-0.0765862410236274,9.207468,116.3969,357.2326,
88,0,1,1,1.236111,72.0,72.0,3.391037,-3.061467,-4.001102674871994,-0.07715850611562289,9.193507,116.3506,357.2287,
89,0,1,1,1.249999,72.0,72.0,3.391037,-3.061467,-4.000998080561615,-0.0777068383031955,9.183938,116.3022,357.2346,
90,0,1,1,1.263888,72.0,72.0,3.391037,-3.061467,-4.000886174113935,-0.07823114256322053,9.164935,116.2603,357.2397,
91,0,1,1,1.277777,72.0,72.0,3.391037,-3.061467,-4.000766887565614,-0.07873133579692518,9.143312,116.2237,357.2554,
