,Trial,CurrentWaypoint,TrialAttempt,Time,LogFreq,FPS,GoalX,GoalY,PosX,PosY,RotX,RotY,RotZ,Event
0,0,1,1,0.01388889,72.0,72.0,3.391037,-3.061467,-3.844695740508949,-0.05908285781565604,356.4579,64.81984,358.4095,StopSignalDeactivated; TrialStarted
1,0,1,1,0.02777778,72.0,72.0,3.391037,-3.061467,-3.8447969458543354,-0.059117570207479986,356.5272,64.84963,358.4056,
2,0,1,1,0.04166667,72.0,72.0,3.391037,-3.061467,-3.8448979356516175,-0.05914614751756731,356.5504,64.88632,358.4021,
3,0,1,1,0.05555556,72.0,72.0,3.391037,-3.061467,-3.8449986486315226,-0.059168686242948056,356.5701,64.93068,358.3739,
4,0,1,1,0.06944445,72.0,72.0,3.391037,-3.061467,-3.845099021342437,-0.05918529572966791,356.5891,64.96699,358.3297,
5,0,1,1,0.08333334,72.0,72.0,3.391037,-3.061467,-3.8451989881901283,-0.05919609810416996,356.618,64.98902,358.2873,
6,0,1,1,0.09722222,72.0,72.0,3.391037,-3.061467,-3.8452984814861266,-0.05920122817258977,356.6314,64.97144,358.259,
7,0,1,1,0.1111111,72.0,72.0,3.391037,-3.061467,-3.8453974315049053,-0.05920083328756455,356.5865,64.966,358.2751,
8,0,1,1,0.125,72.0,72.0,3.391037,-3.061467,-3.8454957665499867,-0.05919507318227714,356.529,64.956,358.2749,
9,0,1,1,0.1388889,72.0,72.0,3.391037,-3.061467,-3.8455934130290466,-0.0591841197715791,356.544,64.95176,358.2724,
10,0,1,1,0.1527778,72.0,72.0,3.391037,-3.061467,-3.845690295538078,-0.059168156920162765,356.5692,64.94501,358.2465,
11,0,1,1,0.1666667,72.0,72.0,3.391037,-3.061467,-3.8457863369546237,-0.05914738017787732,356.6375,64.93333,358.2316,
12,0,1,1,0.1805556,72.0,72.0,3.391037,-3.061467,-3.8458814585400347,-0.05912199648240774,356.6919,64.92077,358.2213,
13,0,1,1,0.1944445,72.0,72.0,3.391037,-3.061467,-3.8459755800506676,-0.059092223829656794,356.7363,64.91732,358.2055,
14,0,1,1,0.2083334,72.0,72.0,3.391037,-3.061467,-3.846068619857888,-0.059058290912289424,356.7603,64.91225,358.1895,
15,0,1,1,0.2222223,72.0,72.0,3.391037,-3.061467,-3.846160495076679,-0.05902043672701479,356.7592,64.9144,358.1935,
16,0,1,1,0.2361112,72.0,72.0,3.391037,-3.061467,-3.8462511217026134,-0.05897891015129421,356.7731,64.91145,358.1743,
17,0,1,1,0.2500001,72.0,72.0,3.391037,-3.061467,-3.8463404147568827,-0.05893396949027293,356.7917,64.90909,358.1682,
18,0,1,1,0.263889,72.0,72.0,3.391037,-3.061467,-3.8464282884390335,-0.058885881994838796,356.8199,64.90785,358.1677,
19,0,1,1,0.2777779,72.0,72.0,3.391037,-3.061467,-3.846514656286997,-0.058834923351811855,356.8456,64.92194,358.144,
20,0,1,1,0.2916667,72.0,72.0,3.391037,-3.061467,-3.8465994313439498,-0.058781377147364235,356.8657,64.9305,358.1389,
21,0,1,1,0.3055556,72.0,72.0,3.391037,-3.061467,-3.8466825263314934,-0.05872553430485998,356.8979,64.92838,358.124,
22,0,1,1,0.3194445,72.0,72.0,3.391037,-3.061467,-3.846763853828592,-0.05866769249838972,356.9161,64.93425,358.1094,
23,0,1,1,0.3333334,72.0,72.0,3.391037,-3.061467,-3.84684332645566,-0.058608155543355876,356.9115,64.93234,358.1059,
24,0,1,1,0.3472223,72.0,72.0,3.391037,-3.061467,-3.846920857063159,-0.05854723276554004,356.9121,64.92696,358.0945,
25,0,1,1,0.3611112,72.0,72.0,3.391037,-3.061467,-3.8469963589240113,-0.05848523835015497,356.9082,64.92453,358.0968,
26,0,1,1,0.3750001,72.0,72.0,3.391037,-3.061467,-3.84706974592912,-0.05842249067244949,356.9123,64.9249,358.104,
27,0,1,1,0.388889,72.0,72.0,3.391037,-3.061467,-3.8471409327852477,-0.05835931161149474,356.9131,64.93546,358.1126,
28,0,1,1,0.4027779,72.0,72.0,3.391037,-3.061467,-3.8472098352144775,-0.05829602584883472,356.9092,64.94749,358.1216,
29,0,1,1,0.4166668,72.0,72.0,3.391037,-3.061467,-3.8472763701544683,-0.05823296015373358,356.9077,64.95584,358.1288,
30,0,1,1,0.4305557,72.0,72.0,3.391037,-3.061467,-3.8473404559586872,-0.058170442656796106,356.9046,64.96423,358.1232,
31,0,1,1,0.4444446,72.0,72.0,3.391037,-3.061467,-3.847402012595808,-0.05810880211377673,356.8976,64.97622,358.1143,
32,0,1,1,0.4583335,72.0,72.0,3.391037,-3.061467,-3.847460961847453,-0.058048367161426626,356.8912,64.98218,358.1058,
33,0,1,1,0.4722224,72.0,72.0,3.391037,-3.061467,-3.8475172275034493,-0.05798946556725891,356.8889,64.99229,358.1042,
34,0,1,1,0.4861113,72.0,72.0,3.391037,-3.061467,-3.8475707355537945,-0.05793242347513959,356.8996,65.00384,358.1039,
35,0,1,1,0.5000002,72.0,72.0,3.391037,-3.061467,-3.8476214143765235,-0.05787756464863723,356.9392,65.02039,358.1136,
36,0,1,1,0.5138891,72.0,72.0,3.391037,-3.061467,-3.8476691949206874,-0.0578252097140872,356.982,65.0284,358.113,
37,0,1,1,0.527778,72.0,72.0,3.391037,-3.061467,-3.8477140108836867,-0.05777567540534507,357.0381,65.04858,358.1068,
