,Trial,CurrentWaypoint,TrialAttempt,Time,LogFreq,FPS,GoalX,GoalY,PosX,PosY,RotX,RotY,RotZ,Event
0,0,1,1,0.01388889,72.0,72.0,4.0,4.0,4.172086129724044,-0.00943752067132998,355.5644,91.24477,359.0407,StopSignalDeactivated; TrialStarted
1,0,1,1,0.02777778,72.0,72.0,4.0,4.0,4.172294300044462,-0.00943277543817642,355.5644,91.24477,359.0407,
2,0,1,1,0.04166667,72.0,72.0,4.0,4.0,4.172505649194868,-0.009419416017532312,355.5751,91.22949,359.0839,
3,0,1,1,0.05555556,72.0,72.0,4.0,4.0,4.172719748811228,-0.009396908298451056,355.5773,91.21927,359.1093,
4,0,1,1,0.06944445,72.0,72.0,4.0,4.0,4.1729361445122715,-0.009364711716299037,355.6035,91.20114,359.1321,
5,0,1,1,0.08333334,72.0,72.0,4.0,4.0,4.173154355931902,-0.009322280124651102,355.6243,91.1815,359.1548,
6,0,1,1,0.09722222,72.0,72.0,4.0,4.0,4.173373876810715,-0.009269062710615146,355.631,91.16534,359.1661,
7,0,1,1,0.1111111,72.0,72.0,4.0,4.0,4.173594175147875,-0.00920450495302297,355.6494,91.14693,359.1839,
8,0,1,1,0.125,72.0,72.0,4.0,4.0,4.173814693414448,-0.009128049622773356,355.6708,91.1254,359.1866,
9,0,1,1,0.1388889,72.0,72.0,4.0,4.0,4.174034848829164,-0.009039137824447274,355.6998,91.10735,359.2029,
10,0,1,1,0.1527778,72.0,72.0,4.0,4.0,4.174254033697447,-0.008937210078135568,355.7241,91.08785,359.2072,
11,0,1,1,0.1666667,72.0,72.0,4.0,4.0,4.174471615814383,-0.008821707440227622,355.7456,91.06733,359.2176,
12,0,1,1,0.1805556,72.0,72.0,4.0,4.0,4.174686938932182,-0.00869207266170751,355.7661,91.04131,359.2275,
13,0,1,1,0.1944445,72.0,72.0,4.0,4.0,4.174899323292514,-0.008547751382294768,355.7844,91.03026,359.2362,
14,0,1,1,0.2083334,72.0,72.0,4.0,4.0,4.17510806622396,-0.008388193358551517,355.7906,91.02394,359.2467,
15,0,1,1,0.2222223,72.0,72.0,4.0,4.0,4.17531244280466,-0.008212853723857001,355.8025,91.01307,359.2648,
16,0,1,1,0.2361112,72.0,72.0,4.0,4.0,4.17551170659004,-0.008021194277924006,355.8083,91.0104,359.2839,
17,0,1,1,0.2500001,72.0,72.0,4.0,4.0,4.175705090405387,-0.00781268480329928,355.8186,90.9999,359.3057,
18,0,1,1,0.263889,72.0,72.0,4.0,4.0,4.175891807202837,-0.007586804406052133,355.8371,90.99738,359.319,
19,0,1,1,0.2777779,72.0,72.0,4.0,4.0,4.176071050982159,-0.007343042877612449,355.8625,90.99888,359.331,
20,0,1,1,0.2916667,72.0,72.0,4.0,4.0,4.176241997774568,-0.007080902074472092,355.8875,90.99876,359.3542,
21,0,1,1,0.3055556,72.0,72.0,4.0,4.0,4.176403806688592,-0.006799897312213056,355.9101,90.98624,359.3749,
22,0,1,1,0.3194445,72.0,72.0,4.0,4.0,4.17655562101685,-0.006499558770073495,355.9423,90.99425,359.3936,
23,0,1,1,0.3333334,72.0,72.0,4.0,4.0,4.176696569402386,-0.006179432902010909,355.9515,91.00051,359.4094,
24,0,1,1,0.3472223,72.0,72.0,4.0,4.0,4.176825767063039,-0.005839083849972668,355.9615,91.00318,359.4141,
25,0,1,1,0.3611112,72.0,72.0,4.0,4.0,4.176942317072108,-0.005478094854840032,355.9768,91.00844,359.4151,
26,0,1,1,0.3750001,72.0,72.0,4.0,4.0,4.177045311693397,-0.005096069660275282,355.9817,91.02185,359.4108,
27,0,1,1,0.388889,72.0,72.0,4.0,4.0,4.177133833768513,-0.004692633904475132,355.9931,91.03381,359.4099,
28,0,1,1,0.4027779,72.0,72.0,4.0,4.0,4.177206958154097,-0.004267436494619772,356.0121,91.05072,359.4072,
29,0,1,1,0.4166668,72.0,72.0,4.0,4.0,4.177263753206483,-0.0038201509586077566,356.0328,91.06957,359.3939,
30,0,1,1,0.4305557,72.0,72.0,4.0,4.0,4.17730328231108,-0.0033504767684843454,356.0489,91.09583,359.3899,
