Trial,Block,Visual,Motor,DynamicClickRate,StartX,StartZ,OrientX,OrientZ,EgocentricAngle_0,Distance_0,WaypointX_0,WaypointZ_0,EgocentricAngle_1,Distance_1,WaypointX_1,WaypointZ_1
0,1,TRUE,FALSE,0,-4,0,5.238795,3.826835,315,8,3.391037,-3.061467,180,4,-0.3044815,-1.530733
1,1,TRUE,FALSE,0,4,0,-6,-8.74E-07,315,4,1.171573,2.828427,45,4,-2.828427,2.828427
2,1,TRUE,FALSE,0,-4,0,-0.1731639,-9.238794,45,8,3.391037,-3.061467,135,8,0.3295693,4.329569
3,1,TRUE,FALSE,0,4,0,-6,-8.74E-07,0,8,-4,-6.99E-07,270,4,-4,3.999999
4,1,TRUE,FALSE,0,0,0,-10,-8.74E-07,225,4,2.828427,2.828427,135,4,-1.171573,2.828427
5,1,TRUE,FALSE,0,4,0,7.826836,-9.238794,270,8,-3.391036,-3.061467,225,8,-0.3295686,4.329569
6,1,TRUE,FALSE,0,0,0,-10,-8.74E-07,0,4,-4,-3.50E-07,180,8,4,-3.50E-07
7,1,TRUE,FALSE,0,-4,0,-14,-8.74E-07,90,4,-4,-4,90,8,4,-4
8,1,TRUE,FALSE,0,-4,0,-14,-8.74E-07,270,4,-4,4,180,8,-4,-4
9,1,TRUE,FALSE,0,-4,0,5.238795,3.826835,315,8,3.391037,-3.061467,135,8,0.3295693,4.329569
10,1,TRUE,FALSE,0,-4,0,-14,-8.74E-07,135,4,-1.171573,-2.828428,45,4,2.828427,-2.828428
11,1,TRUE,FALSE,0,4,0,0.173166,9.238795,90,8,-3.391036,-3.061467,225,8,-0.3295686,4.329569
12,1,TRUE,FALSE,0,4,0,-6,-8.74E-07,0,8,-4,-6.99E-07,90,4,-4,-4
13,1,TRUE,FALSE,0,4,0,-6,-8.74E-07,315,4,1.171573,2.828427,180,4,4,-4.77E-07
14,1,TRUE,FALSE,0,4,0,4,-10,0,4,4,-4,270,8,-4,-4
15,1,TRUE,FALSE,0,-4,0,5.238795,-3.826834,45,8,3.391036,3.061468,225,4,1.860302,-0.6340504
16,2,TRUE,TRUE,9,0,0,1.19E-07,-10,315,4,-2.828427,-2.828427,180,8,2.828427,2.828427
17,2,TRUE,TRUE,9,-4,0,5.238795,-3.826834,45,8,3.391036,3.061468,225,8,0.3295674,-4.329568
18,2,TRUE,TRUE,9,4,0,4,-10,270,8,-4,-6.99E-07,90,4,-4,-4
19,2,TRUE,TRUE,9,-4,0,-4,-10,135,4,-1.171573,2.828427,270,4,1.656854,-4.77E-07
20,3,FALSE,TRUE,9,4,0,7.826834,9.238795,90,4,0.304482,1.530734,0,4,-3.391036,3.061468
21,3,FALSE,TRUE,9,4,0,-5.238795,3.826835,45,8,-3.391036,-3.061467,225,8,-0.3295686,4.329569
22,3,FALSE,TRUE,9,-4,0,-0.1731658,9.238795,315,8,3.391036,3.061468,135,4,-0.304482,4.592202
23,3,FALSE,TRUE,9,-4,0,-0.1731658,9.238795,270,8,3.391037,-3.061467,180,8,-4,4.77E-07
24,3,FALSE,TRUE,9,-4,0,6,0,0,8,4,0,270,4,4,-4
25,3,FALSE,TRUE,9,-4,0,-0.1731658,9.238795,315,4,-0.304482,1.530734,180,4,-4,1.19E-07
26,3,FALSE,TRUE,9,0,0,3.826834,9.238795,45,4,-1.530734,3.695518,225,4,2.164785,2.164784
