Trial,Block,Visual,Motor,DynamicClickRate,StartX,StartZ,OrientX,OrientZ,EgocentricAngle_0,Distance_0,WaypointX_0,WaypointZ_0,EgocentricAngle_1,Distance_1,WaypointX_1,WaypointZ_1
0,1,TRUE,FALSE,0,4,0,7.826834,9.238795,90,8,-3.391036,3.061468,135,8,-0.3295672,-4.329568
1,1,TRUE,FALSE,0,-4,0,5.238795,-3.826834,45,8,3.391036,3.061468,225,8,0.3295674,-4.329568
2,1,TRUE,FALSE,0,4,0,-5.238795,-3.826834,0,8,-3.391036,-3.061467,180,8,4,2.38E-07
3,1,TRUE,FALSE,0,0,0,-9.238795,-3.826834,315,4,-3.695518,1.530734,225,4,0,3.061468
4,1,TRUE,FALSE,0,4,0,-3.071068,-7.071067,45,4,4,-4,270,8,-4,-4
5,1,TRUE,FALSE,0,0,0,1.19E-07,-10,90,4,4,0,270,4,4,-4
6,1,TRUE,FALSE,0,4,0,-5.238795,-3.826834,315,8,-3.391036,3.061468,180,4,0.3044822,1.530734
7,1,TRUE,FALSE,0,0,0,-9.238795,-3.826834,0,4,-3.695518,-1.530734,135,4,2.38E-07,-3.061467
8,1,TRUE,FALSE,0,4,0,0.173166,9.238795,45,8,-3.391036,3.061468,135,8,-0.3295672,-4.329568
9,1,TRUE,FALSE,0,4,0,14,0,270,4,4,-4,270,8,-4,-4
10,1,TRUE,FALSE,0,4,0,14,0,135,4,1.171573,2.828427,45,4,-2.828427,2.828427
11,1,TRUE,FALSE,0,-4,0,-0.1731658,9.238795,315,8,3.391036,3.061468,225,8,0.3295674,-4.329568
12,1,TRUE,FALSE,0,-4,0,6,0,0,8,4,0,225,4,1.171573,-2.828427
13,1,TRUE,FALSE,0,0,0,10,0,180,4,-4,-3.50E-07,180,8,4,-3.50E-07
14,1,TRUE,FALSE,0,-4,0,3.071066,-7.071069,315,4,-4,-4,90,8,4,-4
15,1,TRUE,FALSE,0,0,0,10,0,0,4,4,0,90,4,4,4
16,2,TRUE,TRUE,9,-4,0,5.238795,3.826835,0,8,3.391036,3.061468,180,8,-4,2.38E-07
17,2,TRUE,TRUE,9,-4,0,5.238795,3.826835,315,8,3.391037,-3.061467,180,4,-0.3044815,-1.530733
18,2,TRUE,TRUE,9,-4,0,5.238795,3.826835,0,4,-0.304482,1.530734,315,4,3.391036,1.19E-07
19,2,TRUE,TRUE,9,-4,0,-7.826834,9.238795,270,8,3.391036,3.061468,225,8,0.3295674,-4.329568
20,3,FALSE,TRUE,9,4,0,-5.238795,3.826835,45,8,-3.391036,-3.061467,180,8,4,2.38E-07
21,3,FALSE,TRUE,9,0,0,-9.238795,3.826835,180,4,3.695518,-1.530734,135,4,2.164785,2.164784
22,3,FALSE,TRUE,9,-4,0,5.238795,3.826835,315,8,3.391037,-3.061467,135,8,0.3295693,4.329569
23,3,FALSE,TRUE,9,4,0,-5.238795,3.826835,315,4,2.469266,3.695518,90,4,-1.226252,2.164784
24,3,FALSE,TRUE,9,4,0,-5.238795,3.826835,0,8,-3.391036,3.061468,225,4,0.304482,4.592202
25,3,FALSE,TRUE,9,4,0,11.07107,7.071068,45,4,4,4,90,8,-4,3.999999
26,3,FALSE,TRUE,9,0,0,-9.238795,3.826835,0,4,-3.695518,1.530734,225,8,3.695518,4.592202
27,3,FALSE,TRUE,9,4,0,4,-10,270,8,-4,-6.99E-07,270,4,-4,3.999999
28,3,FALSE,TRUE,9,4,0,-6,-8.74E-07,90,4,4,-4,270,8,-4,-4
29,3,FALSE,TRUE,9,4,0,-6,-8.74E-07,270,4,4,4,180,4,4,0
30,3,FALSE,TRUE,9,4,0,-6,-8.74E-07,0,8,-4,-6.99E-07,180,8,4,-6.99E-07
31,3,FALSE,TRUE,9,4,0,7.826834,9.238795,90,8,-3.391036,3.061468,135,8,-0.3295672,-4.329568
32,3,FALSE,TRUE,9,4,0,-6,-8.74E-07,0,4,0,-3.50E-07,315,4,-2.828427,2.828427
33,3,FALSE,TRUE,9,-4,0,-14,-8.74E-07,135,4,-1.171573,-2.828428,45,4,2.828427,-2.828428
34,3,FALSE,TRUE,9,-4,0,-0.1731658,9.238795,315,8,3.391036,3.061468,225,8,0.3295674,-4.329568
35,3,FALSE,TRUE,9,-4,0,3.071066,-7.071069,45,8,4,0,225,4,1.171573,-2.828427
36,3,FALSE,TRUE,9,4,0,-6,-8.74E-07,0,4,0,-3.50E-07,180,4,4,-3.50E-07
37,3,FALSE,TRUE,9,-4,0,-14,-8.74E-07,225,4,-1.171573,2.828427,315,4,2.828427,2.828427
