Trial,Block,Visual,Motor,DynamicClickRate,StartX,StartZ,OrientX,OrientZ,EgocentricAngle_0,Distance_0,WaypointX_0,WaypointZ_0,EgocentricAngle_1,Distance_1,WaypointX_1,WaypointZ_1
0,1,TRUE,FALSE,0,4,0,0.173166,9.238795,90,8,-3.391036,-3.061467,225,8,-0.3295686,4.329569
1,1,TRUE,FALSE,0,4,0,-3.071068,-7.071067,315,8,-4,-6.99E-07,135,4,-1.171573,-2.828428
2,1,TRUE,FALSE,0,-4,0,-11.07107,-7.071067,225,4,-4,4,270,8,4,4
3,1,TRUE,FALSE,0,-4,0,5.238795,-3.826834,0,8,3.391037,-3.061467,135,8,0.3295693,4.329569
4,1,TRUE,FALSE,0,0,0,-7.071068,-7.071067,180,4,2.828427,2.828427,180,8,-2.828428,-2.828427
5,1,TRUE,FALSE,0,0,0,-7.071068,-7.071067,45,4,4.77E-08,-4,90,4,4,-4
6,1,TRUE,FALSE,0,4,0,-3.071068,-7.071067,315,4,0,-3.50E-07,0,4,-4,-6.99E-07
7,1,TRUE,FALSE,0,-4,0,3.071066,-7.071069,45,8,4,0,270,4,4,-4
8,1,TRUE,FALSE,0,0,0,-10,-8.74E-07,0,4,-4,-3.50E-07,225,4,-1.171573,2.828427
9,1,TRUE,FALSE,0,4,0,-6,-8.74E-07,0,8,-4,-6.99E-07,90,4,-4,-4
10,1,TRUE,FALSE,0,-4,0,5.238795,3.826835,315,8,3.391037,-3.061467,135,8,0.3295693,4.329569
11,1,TRUE,FALSE,0,0,0,-10,-8.74E-07,180,4,4,0,135,4,1.171573,2.828427
12,1,TRUE,FALSE,0,-4,0,-14,-8.74E-07,270,4,-4,4,270,8,4,4
13,1,TRUE,FALSE,0,0,0,-10,-8.74E-07,315,4,-2.828427,2.828427,180,8,2.828426,-2.828428
14,1,TRUE,FALSE,0,4,0,-5.238795,3.826835,45,8,-3.391036,-3.061467,225,8,-0.3295686,4.329569
15,1,TRUE,FALSE,0,4,0,11.07107,7.071068,45,4,4,4,90,8,-4,3.999999
16,2,TRUE,TRUE,9,-4,0,-4,10,270,8,4,0,90,4,4,4
17,2,TRUE,TRUE,9,-4,0,-13.2388,-3.826834,180,4,-0.304482,1.530734,225,4,-1.835216,-2.164784
