Trial,Block,Visual,Motor,DynamicClickRate,StartX,StartZ,OrientX,OrientZ,EgocentricAngle_0,Distance_0,WaypointX_0,WaypointZ_0,EgocentricAngle_1,Distance_1,WaypointX_1,WaypointZ_1
0,1,TRUE,FALSE,0,4,0,14,0,90,4,4,4,90,8,-4,3.999999
1,1,TRUE,FALSE,0,-4,0,6,0,0,8,4,0,270,4,4,-4
2,1,TRUE,FALSE,0,-4,0,5.238795,3.826835,315,8,3.391037,-3.061467,135,8,0.3295693,4.329569
3,1,TRUE,FALSE,0,-4,0,3.071066,-7.071069,45,8,4,0,180,8,-4,-6.99E-07
4,1,TRUE,FALSE,0,4,0,7.826836,-9.238794,270,8,-3.391036,-3.061467,225,8,-0.3295686,4.329569
5,1,TRUE,FALSE,0,4,0,14,0,225,4,1.171573,-2.828427,315,4,-2.828427,-2.828427
6,1,TRUE,FALSE,0,-4,0,6,0,45,4,-1.171573,2.828427,180,4,-4,2.38E-07
7,1,TRUE,FALSE,0,-4,0,6,0,0,4,0,0,135,4,-2.828427,2.828427
8,1,TRUE,FALSE,0,-4,0,3.071068,7.071068,315,8,4,0,180,8,-4,-6.99E-07
9,1,TRUE,FALSE,0,4,0,0.173166,9.238795,90,8,-3.391036,-3.061467,225,8,-0.3295686,4.329569
10,1,TRUE,FALSE,0,4,0,-3.071068,7.071068,135,4,4,-4,270,8,-4,-4
11,1,TRUE,FALSE,0,-4,0,-11.07107,7.071068,315,4,-4,4,270,4,0,4
12,1,TRUE,FALSE,0,-4,0,5.238795,-3.826834,0,8,3.391037,-3.061467,135,8,0.3295693,4.329569
13,1,TRUE,FALSE,0,-4,0,-11.07107,7.071068,225,4,0,0,45,4,2.828427,2.828427
14,1,TRUE,FALSE,0,0,0,-7.071068,7.071068,0,4,-2.828427,2.828427,180,4,-4.77E-07,-4.77E-07
15,1,TRUE,FALSE,0,4,0,-3.071068,7.071068,45,8,-4,-6.99E-07,90,4,-4,-4
16,2,TRUE,TRUE,9,4,0,14,0,90,4,4,4,90,8,-4,3.999999
17,2,TRUE,TRUE,9,-4,0,6,0,45,4,-1.171573,2.828427,315,4,2.828427,2.828427
18,2,TRUE,TRUE,9,-4,0,-0.1731658,9.238795,315,8,3.391036,3.061468,225,8,0.3295674,-4.329568
19,2,TRUE,TRUE,9,4,0,4,-10,270,8,-4,-6.99E-07,270,4,-4,3.999999
20,3,FALSE,TRUE,9,-4,0,3.071066,-7.071069,315,4,-4,-4,90,8,4,-4
21,3,FALSE,TRUE,9,-4,0,-7.826834,9.238795,270,8,3.391036,3.061468,225,8,0.3295674,-4.329568
22,3,FALSE,TRUE,9,-4,0,5.238795,-3.826834,0,4,-0.3044817,-1.530734,225,4,-4,-3.061467
23,3,FALSE,TRUE,9,4,0,-3.071068,-7.071067,315,8,-4,-6.99E-07,90,4,-4,-4
24,3,FALSE,TRUE,9,-4,0,5.238795,-3.826834,0,8,3.391037,-3.061467,180,8,-4,4.77E-07
25,3,FALSE,TRUE,9,-4,0,5.238795,-3.826834,45,8,3.391036,3.061468,180,4,-0.304482,1.530734
26,3,FALSE,TRUE,9,-4,0,5.238795,-3.826834,45,4,-0.304482,1.530734,135,4,-4,3.061468
27,3,FALSE,TRUE,9,0,0,-3.826834,9.238795,270,4,3.695518,1.530734,135,8,-3.695518,4.592202
28,3,FALSE,TRUE,9,-4,0,-11.07107,-7.071067,90,4,-1.171573,-2.828428,135,4,-1.171574,1.171572
29,3,FALSE,TRUE,9,-4,0,3.071066,-7.071069,315,4,-4,-4,90,8,4,-4
30,3,FALSE,TRUE,9,4,0,-3.071068,-7.071067,45,4,4,-4,270,8,-4,-4
31,3,FALSE,TRUE,9,0,0,-7.071068,-7.071067,0,4,-2.828427,-2.828427,180,8,2.828427,2.828427
32,3,FALSE,TRUE,9,-4,0,5.238795,-3.826834,45,8,3.391036,3.061468,225,8,0.3295674,-4.329568
33,3,FALSE,TRUE,9,0,0,-7.071068,-7.071067,225,4,-1.75E-07,4,270,4,4,4
34,3,FALSE,TRUE,9,4,0,-5.238795,3.826835,0,8,-3.391036,3.061468,135,8,-0.3295672,-4.329568
35,3,FALSE,TRUE,9,4,0,-3.071068,-7.071067,315,8,-4,-6.99E-07,180,4,0,-6.99E-07
36,3,FALSE,TRUE,9,-4,0,3.071066,-7.071069,45,8,4,0,90,4,4,4
37,3,FALSE,TRUE,9,4,0,-5.238795,3.826835,0,8,-3.391036,3.061468,135,8,-0.3295672,-4.329568
38,3,FALSE,TRUE,9,4,0,11.07107,-7.071069,315,4,4,-4,270,8,-4,-4
39,3,FALSE,TRUE,9,0,0,-3.826836,-9.238795,45,4,1.530734,-3.695518,135,4,3.061468,2.38E-07
40,3,FALSE,TRUE,9,4,0,0.1731644,-9.238795,315,8,-3.391036,-3.061467,225,4,-1.860302,0.6340506
41,3,FALSE,TRUE,9,0,0,-3.826836,-9.238795,270,4,-3.695518,1.530734,225,8,3.695518,4.592202
42,3,FALSE,TRUE,9,-4,0,-7.826836,-9.238795,90,8,3.391037,-3.061467,180,4,-0.3044815,-1.530733
43,3,FALSE,TRUE,9,0,0,-3.826836,-9.238795,0,4,-1.530734,-3.695518,180,8,1.530733,3.695518
44,3,FALSE,TRUE,9,-4,0,5.238795,3.826835,315,8,3.391037,-3.061467,180,8,-4,4.77E-07
45,3,FALSE,TRUE,9,0,0,9.238795,3.826835,0,4,3.695518,1.530734,135,8,-3.695518,4.592202
46,3,FALSE,TRUE,9,4,0,7.826836,-9.238794,270,8,-3.391036,-3.061467,225,8,-0.3295686,4.329569
47,3,FALSE,TRUE,9,0,0,9.238795,3.826835,90,4,-1.530734,3.695518,135,4,-3.061468,2.38E-07
48,3,FALSE,TRUE,9,-4,0,3.071066,-7.071069,45,8,4,0,180,4,0,-3.50E-07
49,3,FALSE,TRUE,9,-4,0,5.238795,3.826835,0,8,3.391036,3.061468,225,4,1.860302,-0.6340504
50,3,FALSE,TRUE,9,-4,0,3.071066,-7.071069,315,4,-4,-4,90,8,4,-4
51,3,FALSE,TRUE,9,-4,0,5.238795,3.826835,45,4,-2.469266,3.695518,270,4,1.226252,2.164784
52,4,FALSE,TRUE,0,-4,0,3.071068,7.071068,315,8,4,0,270,4,4,-4
53,4,FALSE,TRUE,0,4,0,7.826836,-9.238794,270,8,-3.391036,-3.061467,225,8,-0.3295686,4.329569
54,4,FALSE,TRUE,0,4,0,-3.071068,7.071068,315,4,4,4,90,8,-4,3.999999
55,4,FALSE,TRUE,0,-4,0,-11.07107,7.071068,225,4,0,0,45,4,2.828427,2.828427
56,4,FALSE,TRUE,0,4,0,-3.071068,7.071068,0,4,1.171573,2.828427,180,4,4,-4.77E-07
57,4,FALSE,TRUE,0,4,0,-5.238795,3.826835,0,8,-3.391036,3.061468,135,8,-0.3295672,-4.329568
58,4,FALSE,TRUE,0,4,0,-3.071068,7.071068,45,8,-4,-6.99E-07,180,8,4,-6.99E-07
59,4,FALSE,TRUE,0,0,0,-7.071068,7.071068,135,4,4.77E-08,-4,90,4,4,-4
60,4,FALSE,TRUE,0,4,0,4,-10,0,4,4,-4,270,8,-4,-4
61,4,FALSE,TRUE,0,4,0,-5.238795,-3.826834,0,8,-3.391036,-3.061467,225,8,-0.3295686,4.329569
62,4,FALSE,TRUE,0,0,0,-7.071068,7.071068,315,4,-1.75E-07,4,180,8,-7.94E-08,-4
63,4,FALSE,TRUE,0,0,0,-7.071068,7.071068,45,4,-4,-3.50E-07,90,4,-4,-4
64,4,FALSE,TRUE,0,0,0,-7.071068,7.071068,225,4,4,0,270,4,4,-4
65,4,FALSE,TRUE,0,-4,0,-11.07107,7.071068,135,4,-4,-4,90,8,4,-4
