Trial,Block,Visual,Motor,DynamicClickRate,StartX,StartZ,OrientX,OrientZ,EgocentricAngle_0,Distance_0,WaypointX_0,WaypointZ_0,EgocentricAngle_1,Distance_1,WaypointX_1,WaypointZ_1
0,1,TRUE,FALSE,0,0,0,-7.071068,-7.071067,225,4,-1.75E-07,4,90,4,-4,4
1,1,TRUE,FALSE,0,4,0,0.1731644,-9.238795,270,8,-3.391036,3.061468,135,8,-0.3295672,-4.329568
2,1,TRUE,FALSE,0,4,0,-5.238795,3.826835,45,8,-3.391036,-3.061467,180,8,4,2.38E-07
3,1,TRUE,FALSE,0,0,0,-7.071068,-7.071067,315,4,-4,-3.50E-07,270,4,-4,4
4,1,TRUE,FALSE,0,0,0,-7.071068,-7.071067,0,4,-2.828427,-2.828427,180,4,-2.38E-07,2.38E-07
5,1,TRUE,FALSE,0,-4,0,5.238795,3.826835,0,8,3.391036,3.061468,225,8,0.3295674,-4.329568
6,1,TRUE,FALSE,0,-4,0,-11.07107,-7.071067,45,4,-4,-4,90,8,4,-4
7,1,TRUE,FALSE,0,4,0,-3.071068,-7.071067,315,8,-4,-6.99E-07,135,4,-1.171573,-2.828428
8,1,TRUE,FALSE,0,4,0,4,-10,270,8,-4,-6.99E-07,90,4,-4,-4
9,1,TRUE,FALSE,0,4,0,-5.238795,-3.826834,0,8,-3.391036,-3.061467,225,8,-0.3295686,4.329569
10,1,TRUE,FALSE,0,0,0,1.19E-07,-10,315,4,-2.828427,-2.828427,225,4,-2.828428,1.171573
11,1,TRUE,FALSE,0,-4,0,-4,-10,90,8,4,0,180,8,-4,-6.99E-07
12,1,TRUE,FALSE,0,-4,0,3.071068,7.071068,315,8,4,0,270,4,4,-4
13,1,TRUE,FALSE,0,-4,0,-4,-10,0,4,-4,-4,180,4,-4,0
14,1,TRUE,FALSE,0,-4,0,-0.1731639,-9.238794,45,8,3.391037,-3.061467,135,8,0.3295693,4.329569
15,1,TRUE,FALSE,0,-4,0,-4,-10,45,4,-1.171573,-2.828428,135,4,-1.171574,1.171572
16,2,TRUE,TRUE,0,-4,0,5.238795,3.826835,315,8,3.391037,-3.061467,135,8,0.3295693,4.329569
17,2,TRUE,TRUE,0,4,0,14,0,225,4,1.171573,-2.828427,315,4,-2.828427,-2.828427
18,2,TRUE,TRUE,0,4,0,14,0,135,4,1.171573,2.828427,180,4,4,-4.77E-07
19,2,TRUE,TRUE,0,-4,0,6,0,0,8,4,0,180,8,-4,-6.99E-07
20,3,FALSE,TRUE,0,-4,0,-11.07107,7.071068,315,4,-4,4,270,8,4,4
21,3,FALSE,TRUE,0,4,0,-5.238795,-3.826834,315,8,-3.391036,3.061468,135,8,-0.3295672,-4.329568
22,3,FALSE,TRUE,0,4,0,-3.071068,7.071068,45,8,-4,-6.99E-07,135,4,-1.171573,-2.828428
23,3,FALSE,TRUE,0,0,0,-7.071068,7.071068,0,4,-2.828427,2.828427,225,4,1.171573,2.828427
24,3,FALSE,TRUE,0,-4,0,5.238795,3.826835,0,8,3.391036,3.061468,225,8,0.3295674,-4.329568
25,3,FALSE,TRUE,0,0,0,-7.071068,7.071068,180,4,2.828427,-2.828428,180,8,-2.828428,2.828427
26,3,FALSE,TRUE,0,4,0,11.07107,7.071068,45,4,4,4,90,8,-4,3.999999
27,3,FALSE,TRUE,0,4,0,-3.071068,7.071068,90,4,1.171573,-2.828427,270,4,-1.656854,2.38E-07
28,3,FALSE,TRUE,0,-4,0,3.071066,-7.071069,45,8,4,0,270,4,4,-4
29,3,FALSE,TRUE,0,-4,0,3.071066,-7.071069,0,4,-1.171573,-2.828428,135,4,-1.171574,1.171572
30,3,FALSE,TRUE,0,0,0,7.071066,-7.071069,90,4,2.828427,2.828427,180,8,-2.828428,-2.828427
31,3,FALSE,TRUE,0,-4,0,5.238795,-3.826834,0,8,3.391037,-3.061467,135,8,0.3295693,4.329569
32,3,FALSE,TRUE,0,4,0,11.07107,-7.071069,315,4,4,-4,270,8,-4,-4
33,3,FALSE,TRUE,0,0,0,7.071066,-7.071069,225,4,-4,-3.50E-07,180,4,0,-3.50E-07
34,3,FALSE,TRUE,0,-4,0,-11.07107,-7.071067,45,4,-4,-4,90,8,4,-4
35,3,FALSE,TRUE,0,4,0,0.1731644,-9.238795,315,8,-3.391036,-3.061467,225,8,-0.3295686,4.329569
36,3,FALSE,TRUE,0,-4,0,3.071068,7.071068,315,4,0,0,225,4,-2.828427,-2.828427
37,3,FALSE,TRUE,0,-4,0,3.071068,7.071068,315,8,4,0,180,8,-4,-6.99E-07
38,3,FALSE,TRUE,0,-4,0,3.071066,-7.071069,45,8,4,0,180,4,0,-3.50E-07
39,3,FALSE,TRUE,0,-4,0,5.238795,3.826835,0,8,3.391036,3.061468,225,8,0.3295674,-4.329568
40,3,FALSE,TRUE,0,-4,0,3.071068,7.071068,45,4,-4,4,270,8,4,4
41,3,FALSE,TRUE,0,4,0,4,10,0,4,4,4,90,8,-4,3.999999
42,3,FALSE,TRUE,0,4,0,11.07107,7.071068,135,8,-4,-6.99E-07,270,4,-4,3.999999
43,3,FALSE,TRUE,0,0,0,7.071068,7.071068,90,4,-2.828427,2.828427,135,4,-2.828427,-1.171573
44,3,FALSE,TRUE,0,-4,0,5.238795,3.826835,315,8,3.391037,-3.061467,135,8,0.3295693,4.329569
45,3,FALSE,TRUE,0,0,0,9.238795,3.826835,90,4,-1.530734,3.695518,135,4,-3.061468,2.38E-07
46,3,FALSE,TRUE,0,4,0,4,-10,0,4,4,-4,270,8,-4,-4
47,3,FALSE,TRUE,0,-4,0,-11.07107,-7.071067,45,4,-4,-4,90,8,4,-4
48,3,FALSE,TRUE,0,-4,0,5.238795,3.826835,315,4,-0.3044817,-1.530734,225,4,-4,-3.061467
49,3,FALSE,TRUE,0,-4,0,5.238795,-3.826834,45,8,3.391036,3.061468,225,8,0.3295674,-4.329568
50,3,FALSE,TRUE,0,0,0,9.238795,3.826835,270,4,1.530734,-3.695518,180,8,-1.530733,3.695519
51,3,FALSE,TRUE,0,-4,0,5.238795,3.826835,0,8,3.391036,3.061468,180,4,-0.304482,1.530734
52,4,FALSE,TRUE,9,4,0,-6,-8.74E-07,0,8,-4,-6.99E-07,225,4,-1.171573,2.828426
53,4,FALSE,TRUE,9,4,0,-6,-8.74E-07,45,4,1.171573,-2.828427,315,4,-2.828427,-2.828427
54,4,FALSE,TRUE,9,4,0,4,10,0,4,4,4,90,8,-4,3.999999
55,4,FALSE,TRUE,9,-4,0,5.238795,-3.826834,45,8,3.391036,3.061468,225,8,0.3295674,-4.329568
56,4,FALSE,TRUE,9,-4,0,-14,-8.74E-07,270,4,-4,4,270,8,4,4
57,4,FALSE,TRUE,9,-4,0,5.238795,3.826835,315,8,3.391037,-3.061467,135,8,0.3295693,4.329569
58,4,FALSE,TRUE,9,0,0,-10,-8.74E-07,135,4,2.828427,-2.828428,180,8,-2.828428,2.828427
59,4,FALSE,TRUE,9,0,0,-10,-8.74E-07,90,4,4.77E-08,-4,180,4,-1.27E-07,0
60,4,FALSE,TRUE,9,-4,0,3.071068,7.071068,45,4,-4,4,270,8,4,4
61,4,FALSE,TRUE,9,4,0,-6,-8.74E-07,0,8,-4,-6.99E-07,180,4,0,-6.99E-07
62,4,FALSE,TRUE,9,-4,0,5.238795,-3.826834,45,8,3.391036,3.061468,225,8,0.3295674,-4.329568
63,4,FALSE,TRUE,9,0,0,7.071068,7.071068,315,4,4,0,180,8,-4,-6.99E-07
64,4,FALSE,TRUE,9,4,0,11.07107,7.071068,135,8,-4,-6.99E-07,225,4,-1.171573,2.828426
65,4,FALSE,TRUE,9,4,0,4,10,90,8,-4,-6.99E-07,90,4,-4,-4
66,4,FALSE,TRUE,9,4,0,11.07107,7.071068,135,4,0,-3.50E-07,0,4,-4,-6.99E-07
67,4,FALSE,TRUE,9,-4,0,3.071068,7.071068,315,8,4,0,270,4,4,-4
68,4,FALSE,TRUE,9,-4,0,-4,10,0,4,-4,4,270,8,4,4
69,4,FALSE,TRUE,9,0,0,-7.071068,-7.071067,225,4,-1.75E-07,4,180,8,-7.94E-08,-4
70,4,FALSE,TRUE,9,-4,0,-0.1731639,-9.238794,45,8,3.391037,-3.061467,135,8,0.3295693,4.329569
71,4,FALSE,TRUE,9,4,0,-3.071068,-7.071067,315,8,-4,-6.99E-07,135,4,-1.171573,-2.828428
72,4,FALSE,TRUE,9,-4,0,-11.07107,-7.071067,45,4,-4,-4,90,8,4,-4
73,4,FALSE,TRUE,9,0,0,-7.071068,-7.071067,315,4,-4,-3.50E-07,90,4,-4,-4
74,4,FALSE,TRUE,9,4,0,-5.238795,-3.826834,0,8,-3.391036,-3.061467,225,8,-0.3295686,4.329569
75,4,FALSE,TRUE,9,0,0,-7.071068,-7.071067,270,4,-2.828427,2.828427,180,4,-4.77E-07,-4.77E-07
76,4,FALSE,TRUE,9,4,0,-6,-8.74E-07,0,8,-4,-6.99E-07,270,4,-4,3.999999
77,4,FALSE,TRUE,9,-4,0,-11.07107,7.071068,315,4,-4,4,270,8,4,4
78,4,FALSE,TRUE,9,4,0,-3.071068,7.071068,45,4,0,-3.50E-07,0,4,-4,-6.99E-07
79,4,FALSE,TRUE,9,-4,0,-7.826836,-9.238795,90,8,3.391037,-3.061467,135,8,0.3295693,4.329569
80,4,FALSE,TRUE,9,4,0,-3.071068,7.071068,45,8,-4,-6.99E-07,180,8,4,-6.99E-07
81,4,FALSE,TRUE,9,-4,0,-11.07107,7.071068,135,4,-4,-4,180,4,-4,0
82,4,FALSE,TRUE,9,-4,0,-11.07107,7.071068,225,8,4,0,90,4,4,4
83,4,FALSE,TRUE,9,4,0,0.1731644,-9.238795,315,8,-3.391036,-3.061467,225,4,-1.860302,0.6340506
